method,seed,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_binary_macro_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1
E3_soft_voting,33,0.4375,0.3831664131169709,0.41379310344827586,0.0,0.43137254901960786,0.6875,0.5273745861981156,0.43137254901960786,0.3142857142857143,0.6875,0.621037965865552,0.8282828282828283,0.7916666666666667,0.6875
baseline_flat4,44,0.421875,0.38665674603174605,0.4166666666666667,0.09523809523809523,0.2222222222222222,0.8125,0.5071507150715071,0.2222222222222222,0.2727272727272727,0.1875,0.5333333333333333,0.65,0.875,0.8125
E1_contra_first,44,0.5,0.45810810810810815,0.43243243243243246,0.1,0.5,0.8,0.6521739130434783,0.5,0.45,0.5625,0.6008316008316008,0.7692307692307693,0.8623655913978494,0.8
E2_strong_first,44,0.4375,0.4101014635898357,0.43243243243243246,0.1,0.46511627906976744,0.6428571428571429,0.5972640218878249,0.46511627906976744,0.37037037037037035,0.625,0.6008316008316008,0.7692307692307693,0.7714285714285715,0.6428571428571429
E3_soft_voting,44,0.484375,0.4146774193548387,0.32,0.0,0.5,0.8387096774193549,0.5555555555555556,0.5,0.35,0.875,0.5774757281553398,0.8349514563106796,0.8935816428333887,0.8387096774193549
baseline_flat4,55,0.421875,0.3481527093596059,0.5,0.0,0.20689655172413793,0.6857142857142857,0.48728665970045276,0.20689655172413793,0.23076923076923078,0.1875,0.6,0.7,0.7837173579109062,0.6857142857142857
E1_contra_first,55,0.4375,0.39576074332171896,0.4878048780487805,0.09523809523809523,0.3333333333333333,0.6666666666666666,0.564625850340136,0.3333333333333333,0.35714285714285715,0.3125,0.6232127838519764,0.7586206896551724,0.7681159420289855,0.6666666666666666
E2_strong_first,55,0.4375,0.39783447604061295,0.4878048780487805,0.09523809523809523,0.3225806451612903,0.6857142857142857,0.5530428999002328,0.3225806451612903,0.3333333333333333,0.3125,0.6232127838519764,0.7586206896551724,0.7837173579109062,0.6857142857142857
E3_soft_voting,55,0.4375,0.37251801906533366,0.34782608695652173,0.0,0.43636363636363634,0.7058823529411765,0.5058530510585305,0.43636363636363634,0.3076923076923077,0.75,0.6024844720496894,0.8571428571428571,0.799749687108886,0.7058823529411765
baseline_flat4,66,0.375,0.36571598336304223,0.35294117647058826,0.2222222222222222,0.18181818181818182,0.7058823529411765,0.4488038277511962,0.18181818181818182,0.17647058823529413,0.1875,0.5594493116395495,0.7659574468085106,0.799749687108886,0.7058823529411765
