path,category,exists,size_bytes,last_modified,status,notes
experiments/leakage_audit_v1_toy/group_split_integrity.json,experiment_output,true,101,2026-07-06T05:32:46.124877+00:00,exists,
experiments/leakage_audit_v1_toy/lexical_overlap_by_label.csv,experiment_output,true,49,2026-07-06T05:32:46.124877+00:00,exists,
experiments/leakage_audit_v1_toy/metadata_only_retrieval_baseline.json,experiment_output,true,91,2026-07-06T05:32:46.123874+00:00,exists,
experiments/leakage_audit_v1_toy/no_label_in_queue_sorting_check.json,experiment_output,true,686,2026-07-06T05:32:46.125394+00:00,exists,
experiments/leakage_audit_v1_toy/no_oracle_in_selector_check.json,experiment_output,true,455,2026-07-06T05:32:46.125394+00:00,exists,
experiments/leakage_audit_v1_toy/run_config.json,experiment_output,true,1221,2026-07-06T05:32:46.127969+00:00,exists,
experiments/leakage_audit_v1_toy/schema_validation_report.json,experiment_output,true,3218,2026-07-06T05:32:46.127458+00:00,exists,
experiments/leakage_audit_v1_toy/title_only_retrieval_baseline.json,experiment_output,true,136,2026-07-06T05:32:46.123874+00:00,exists,
experiments/lightweight_smart_queue_v1/leakage_guard_report.json,experiment_output,true,919,2026-07-06T17:53:33.194608+00:00,exists,
experiments/lightweight_smart_queue_v1/run_config.json,experiment_output,true,1303,2026-07-06T17:53:33.203916+00:00,exists,
experiments/lightweight_smart_queue_v1/schema_validation_report.json,experiment_output,true,1109,2026-07-06T17:53:33.202893+00:00,exists,
experiments/lightweight_smart_queue_v1/smart_queue_config.json,experiment_output,true,1910,2026-07-06T17:53:32.721244+00:00,exists,
experiments/lightweight_smart_queue_v1/smart_queue_metric_summary.json,experiment_output,true,440,2026-07-06T17:53:33.194608+00:00,exists,
experiments/lightweight_smart_queue_v1/smart_queue_scores.csv,experiment_output,true,111635,2026-07-06T17:53:32.718186+00:00,exists,
experiments/lightweight_smart_queue_v1/smart_queue_top100.csv,experiment_output,true,12495,2026-07-06T17:53:32.721244+00:00,exists,
experiments/lightweight_smart_queue_v1/smart_queue_top20.csv,experiment_output,true,2596,2026-07-06T17:53:32.719203+00:00,exists,
experiments/lightweight_smart_queue_v1/smart_queue_top50.csv,experiment_output,true,6297,2026-07-06T17:53:32.720231+00:00,exists,
experiments/lightweight_smart_queue_v1_toy/leakage_guard_report.json,experiment_output,true,919,2026-07-06T18:27:18.548036+00:00,exists,
experiments/lightweight_smart_queue_v1_toy/run_config.json,experiment_output,true,1266,2026-07-06T18:27:18.551560+00:00,exists,
experiments/lightweight_smart_queue_v1_toy/schema_validation_report.json,experiment_output,true,1102,2026-07-06T18:27:18.550620+00:00,exists,
