audit_id_hash,evidence_text_sha256,selected_evidence_sha256,selected_evidence_length,evidence_text_length,alignment_class,similarity_score,conflict_candidate
5bf6aa4717e6f84d,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,1071ba43b4c44bd03a687217f77d1003ea360fe01e0d41c917ffa79ac58b5ed8,79,129,partial_overlap,0.375,False
369b8fece3f52760,d2a1a4f9866c8e758a966915febe4b157a52f69366fef8c2a86558eeb4439461,cdbb48ba2c7d094fc341fca7c558c9b93646153773b58d7f55e65663ba0bc1d1,56,141,exact_or_contained,1.0,False
95a1ce0b95cd071a,f49185d8ef6e25bbd844f91d12eb796fa3407bbb2a063f8a2fbd604622b0e88c,703dd7be2864765b9a4dd15451847d18e650e8d52d6830379e3afb25ffa8178f,73,202,partial_overlap,0.2036,False
1f576f1e62b0ba7b,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,1071ba43b4c44bd03a687217f77d1003ea360fe01e0d41c917ffa79ac58b5ed8,79,129,partial_overlap,0.375,False
7e65b05f6723fa5b,02692370896833905ea5235a991c454c9693dea2252cd8e39f21501ccbe9c3e3,e6a0a5045c74642271c4e7293bc7ffe370b6bf4274c6f5623c253f73842c0a93,101,186,partial_overlap,0.216,False
aaf21b1e868adbb1,69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,2a4d47e1e21e6793d90935927f50686a084cd82d968e907e73a20a7909731dfa,59,249,low_or_unrelated,0.0584,False
648859212ed6fa4f,4865cef7a70b49e45acf29d1974732f53dc6319fbe58c71b33a4963d91457155,460a7d5a8c4059e53c91d4cbb42dcaf16abca8d2ebc3b99dd6df600b4a82da1c,113,193,partial_overlap,0.3137,False
e425f00e49909fb3,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,42bb3ead909652089d3280121fe9083dbb19ad6796a921956b93f29790ca9872,117,218,low_or_unrelated,0.119,False
85c94648216c4d0f,6cf9b7ee693d8ab6538934520def322aa582ff241126f17a6742a88036fc0046,b1ce4b2c42dc848aedc2edd105cd9a9309d6f5e9572829c9121a4c63b4df08bb,49,280,low_or_unrelated,0.079,False
2fd0cae5ff5b8c61,1bfc02570ffe7c547ea6acc10a2d06c482e025ac0569d567f6cbb896d9b71c28,fafb674613d6fd905fc08d3143f4c68431d269a4708ecde49a1fce0b3081cc65,93,211,low_or_unrelated,0.0329,False
07753e50a5ada8b5,6cf9b7ee693d8ab6538934520def322aa582ff241126f17a6742a88036fc0046,b1ce4b2c42dc848aedc2edd105cd9a9309d6f5e9572829c9121a4c63b4df08bb,49,280,low_or_unrelated,0.079,False
d01d113f166f3115,46b186166e58fc91678a34170478a902e4917ec372a7064322b9996168acbb3d,78e1708f7e1fd6a6d97f0397b74f73dbe6261e987f58246f685f282cf32798d5,131,115,partial_overlap,0.3089,False
018ad81365eb37ad,5f67346c881895567ddb29e0571e9404a224507e878354584768494d31c1250c,e7c9fe670e95f756c3950f57ec35cbf34debd7161df425b349baaad20545a6b7,30,190,partial_overlap,0.2727,False
d6f6a20c4196a971,f49d16ae1de110b32ad1970f322ed0fc26e46f7d35aff152897ae3dde3263680,0aee8e4ec617050ed88dc1bc32bec3ff8bbc9c9ddb18adec6c54c30486d4735b,161,186,low_or_unrelated,0.1282,False
b94296bf1cd874e6,6dc02aeda5ad07c0bf9afeea7cc142838df02d219a9a6b3d7304d3fc7d2c7e78,72beae9aa82faaa4b14080657b097c520099da3b80a26b1ccb200c0e223bd82e,123,271,low_or_unrelated,0.087,False
db6cf57bc299f6b1,28f42a808c89c2b3744ef58a0fc617ee2615e0f65abd36d40d5e761b85adcf95,0d1e476087f74821912c77a4d9fb0a5a73515224f1203bd6591826150488451e,136,150,conflict_candidate,0.3077,True
2384cd4ef95dfcb5,d81310395f33555e0438a7e97a2ce8d23163b2d1ac807db6335e59d00aca6d64,8cb33fdccb05c9924089706ccd894efb2f67009cf180c2170337d0643d260a3c,110,214,partial_overlap,0.2346,False
84ffa777fbdcbc3c,f49185d8ef6e25bbd844f91d12eb796fa3407bbb2a063f8a2fbd604622b0e88c,703dd7be2864765b9a4dd15451847d18e650e8d52d6830379e3afb25ffa8178f,73,202,partial_overlap,0.2036,False
55c45ffec10b4a91,2c4ef4dcf62ad01160c367f3651e5693403b44465a59744ea4bd449fd9f1f6a3,8bca6452da56617f32a96072d25fee6c262d6b05d669893fc5bbda627c9dc649,97,142,conflict_candidate,0.3682,True
829cd86b7d409d6f,65a7a51906e93e8ca51e770edf0378e1f814a6d7482d0c5bd840ed431c38d3ec,ba00ecbc5bf5e2c315d94641b7651723711a20f5a796b7b3294c2fbb83f28f78,75,182,exact_or_contained,1.0,False
482a4250542c9d1d,2c4ef4dcf62ad01160c367f3651e5693403b44465a59744ea4bd449fd9f1f6a3,8bca6452da56617f32a96072d25fee6c262d6b05d669893fc5bbda627c9dc649,97,142,conflict_candidate,0.3682,True
e00d302b1cd2f50b,f49d16ae1de110b32ad1970f322ed0fc26e46f7d35aff152897ae3dde3263680,0aee8e4ec617050ed88dc1bc32bec3ff8bbc9c9ddb18adec6c54c30486d4735b,161,186,low_or_unrelated,0.1282,False
ce67177f08fa6cd1,c537633b2d3a24179b11bd56cfa617e75398ba4174a7ed8d9d4819936a88844c,407bde8a884c5a1d64590431550bac48a313121d9bd50e14b061f65beb027a95,104,152,exact_or_contained,1.0,False
736287a16d01c758,5127ca15512d3e5769930a7f7def6ce1eff5b73652ea48094d3cbe885e947b23,17b26e8f57620454dcce83e068c695b18bd249979889264f9033ead6879789dc,166,252,low_or_unrelated,0.0741,False
a99e6869e1db2945,8e8bc2ea8ecbfe77eea7a4530ea29af363888dfe1a1200af7fe07bc88dcf89b2,72beb5177b88bd3dbb79397a786e5abce1777f3daf3bf644e2561e7f3287da67,107,188,partial_overlap,0.2712,False
cd6d72ee0e0c4857,a67e03dd0f837f491008ac1b8620caf623e185c13e64cbcade45fa82bfac1455,33f655f20e2a9844683229d75526360176fe369a134d3758ae5cfc1f2a0fc5cf,253,568,low_or_unrelated,0.0455,False
