method,seed,flat4_macro_f1,flat4_strong_f1,flat4_supported_f1,flat4_mild_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1,supported_to_strong_rate,mild_to_strong_rate
D3_ovr_max_prob,11,0.351143648018648,0.18181818181818182,0.41025641025641024,0.25,0.5625,0.18181818181818182,0.17647058823529413,0.1875,0.5759147219821377,0.7415730337078652,0.7083333333333333,0.5625,0.3125,0.1875
E_error_corrector_r4,11,0.31262567220014026,0.15384615384615385,0.46808510638297873,0.0,0.6285714285714286,0.15384615384615385,0.2,0.125,0.5797215655371684,0.691358024691358,0.7443932411674348,0.6285714285714286,0.1875,0.125
F_recall_balance_router,11,0.3226783020900668,0.23076923076923078,0.0,0.43137254901960786,0.6285714285714286,0.23076923076923078,0.3,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,0.125,0.1875
R4_conservative_strong,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
A1_temp_scaled_router,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
A2_isotonic_router,22,0.4816286388670339,0.4878048780487805,0.5,0.1,0.8387096774193549,0.4878048780487805,0.4,0.625,0.6521739130434783,0.8043478260869565,0.8935816428333887,0.8387096774193549,0.3125,0.5
A3_platt_router,22,0.49785923753665695,0.4,0.2727272727272727,0.48,0.8387096774193549,0.4,0.5555555555555556,0.3125,0.5608919382504288,0.8490566037735849,0.8935816428333887,0.8387096774193549,0.0625,0.125
B_cost_sensitive_cw1.5,22,0.46848308737103306,0.46153846153846156,0.47368421052631576,0.1,0.8387096774193549,0.46153846153846156,0.391304347826087,0.5625,0.6257309941520468,0.7777777777777778,0.8935816428333887,0.8387096774193549,0.3125,0.5
B_cost_sensitive_cw2.0,22,0.4802401899176093,0.42424242424242425,0.47619047619047616,0.18181818181818182,0.8387096774193549,0.42424242424242425,0.4117647058823529,0.4375,0.6101882613510521,0.7441860465116279,0.8935816428333887,0.8387096774193549,0.1875,0.375
B_cost_sensitive_cw3.0,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
B_cost_sensitive_cw4.0,22,0.4449046920821115,0.4,0.45,0.09090909090909091,0.8387096774193549,0.4,0.3684210526315789,0.4375,0.6,0.75,0.8935816428333887,0.8387096774193549,0.25,0.4375
C_ordinal_severity,22,0.39802918957808725,0.4918032786885246,0.0,0.2727272727272727,0.8275862068965517,0.4918032786885246,0.3333333333333333,0.9375,0.42857142857142855,0.8571428571428571,0.8885405781957506,0.8275862068965517,0.8125,0.8125
D1_ovr_contra_priority,22,0.4152896642527979,0.40816326530612246,0.21428571428571427,0.2,0.8387096774193549,0.40816326530612246,0.30303030303030304,0.625,0.49714285714285716,0.78,0.8935816428333887,0.8387096774193549,0.6875,0.625
