candidate_id,domain,silver_label,sim_correct_evidence,sim_empty_evidence,sim_shuffled_evidence,sim_same_domain_wrong_evidence,sim_cross_domain_wrong_evidence
SBV2-ALL92-G082-C03,cyber_defense,strong_action_overclaim,0.5021458534445135,0.0,0.5021458534445135,0.0,0.0
SBV2-ALL92-G082-C04,cyber_defense,contradiction_candidate,0.2629876397304469,0.0,0.2629876397304469,0.0,0.0
SBV2-ALL92-G083-C01,cyber_defense,supported,0.6075888018194153,0.0,0.6075888018194153,0.0,0.029780997838840435
SBV2-ALL92-G083-C02,cyber_defense,mild_scope_overclaim,0.5363940765557904,0.0,0.5363940765557904,0.0,0.0
SBV2-ALL92-G083-C03,cyber_defense,strong_action_overclaim,0.4711494866557805,0.0,0.4711494866557805,0.0,0.0
SBV2-ALL92-G083-C04,cyber_defense,contradiction_candidate,0.4711494866557805,0.0,0.4711494866557805,0.0,0.0
SBV2-ALL92-G085-C01,cyber_defense,supported,0.506443214184507,0.0,0.506443214184507,0.045573612711752684,0.0
SBV2-ALL92-G085-C02,cyber_defense,mild_scope_overclaim,0.48589951078113713,0.0,0.48589951078113713,0.0,0.023771815193643048
SBV2-ALL92-G085-C03,cyber_defense,strong_action_overclaim,0.4513472433157689,0.0,0.4513472433157689,0.03625870803765041,0.0
SBV2-ALL92-G085-C04,cyber_defense,contradiction_candidate,0.43270692356539375,0.0,0.43270692356539375,0.0,0.0
SBV2-ALL92-G086-C01,cyber_defense,supported,0.6343791266780224,0.0,0.6343791266780224,0.0,0.02171414371137644
SBV2-ALL92-G086-C02,cyber_defense,mild_scope_overclaim,0.5922669847611377,0.0,0.5922669847611377,0.0,0.022857389356816474
SBV2-ALL92-G086-C03,cyber_defense,strong_action_overclaim,0.5922669847611377,0.0,0.5922669847611377,0.0,0.048373391466327936
SBV2-ALL92-G086-C04,cyber_defense,contradiction_candidate,0.6121557540165755,0.0,0.6121557540165755,0.0,0.0
SBV2-ALL92-G087-C01,cyber_defense,supported,0.3845077488106422,0.0,0.3845077488106422,0.0,0.0
SBV2-ALL92-G087-C02,cyber_defense,mild_scope_overclaim,0.35985322679480125,0.0,0.35985322679480125,0.047386191294922754,0.0
SBV2-ALL92-G087-C03,cyber_defense,strong_action_overclaim,0.28522744186748983,0.0,0.28522744186748983,0.0,0.0
SBV2-ALL92-G087-C04,cyber_defense,contradiction_candidate,0.3474116920273225,0.0,0.3474116920273225,0.0,0.02480556997228467
SBV2-ALL92-G089-C01,cyber_defense,supported,0.11894148306076506,0.0,0.11894148306076506,0.022857389356816478,0.0
SBV2-ALL92-G089-C02,cyber_defense,mild_scope_overclaim,0.15082390803466775,0.0,0.15082390803466775,0.08431875054119922,0.0
SBV2-ALL92-G089-C03,cyber_defense,strong_action_overclaim,0.12661049602721644,0.0,0.12661049602721644,0.0,0.0
SBV2-ALL92-G089-C04,cyber_defense,contradiction_candidate,0.11894148306076506,0.0,0.11894148306076506,0.026644887802214676,0.0
SBV2-ALL92-G091-C01,cyber_defense,supported,0.7523197619890015,0.0,0.7523197619890015,0.0,0.0
SBV2-ALL92-G091-C02,cyber_defense,mild_scope_overclaim,0.614991898266436,0.0,0.614991898266436,0.0,0.0
SBV2-ALL92-G091-C03,cyber_defense,strong_action_overclaim,0.5038711573210972,0.0,0.5038711573210972,0.0,0.0
SBV2-ALL92-G091-C04,cyber_defense,contradiction_candidate,0.5922486215716684,0.0,0.5922486215716684,0.0,0.03523483848739341
SBV2-ALL92-G092-C01,cyber_defense,supported,0.5268657955730812,0.0,0.5268657955730812,0.0,0.0
SBV2-ALL92-G092-C02,cyber_defense,mild_scope_overclaim,0.46866104780906964,0.0,0.46866104780906964,0.0,0.0
SBV2-ALL92-G092-C03,cyber_defense,strong_action_overclaim,0.46866104780906964,0.0,0.46866104780906964,0.0,0.0
SBV2-ALL92-G092-C04,cyber_defense,contradiction_candidate,0.4952162361396439,0.0,0.4952162361396439,0.0,0.0
SBV2-ALL92-G093-C01,cyber_defense,supported,0.6543592899019838,0.0,0.6543592899019838,0.0,0.0
SBV2-ALL92-G093-C02,cyber_defense,mild_scope_overclaim,0.581969669221429,0.0,0.581969669221429,0.0,0.0
SBV2-ALL92-G093-C03,cyber_defense,strong_action_overclaim,0.43161341897075145,0.0,0.43161341897075145,0.0,0.0
SBV2-ALL92-G093-C04,cyber_defense,contradiction_candidate,0.5101490193104813,0.0,0.5101490193104813,0.04220166890638128,0.0
SBV2-ALL92-G094-C01,cyber_defense,supported,0.408261168230341,0.0,0.408261168230341,0.04047929748371947,0.0
SBV2-ALL92-G094-C02,cyber_defense,mild_scope_overclaim,0.3293065035554839,0.0,0.3293065035554839,0.025359203199290765,0.0
SBV2-ALL92-G094-C03,cyber_defense,strong_action_overclaim,0.31405239181438743,0.0,0.31405239181438743,0.0,0.0
SBV2-ALL92-G094-C04,cyber_defense,contradiction_candidate,0.1833326392902841,0.0,0.1833326392902841,0.026755832757694296,0.0
SBV2-ALL92-G098-C01,cyber_defense,supported,0.6972142262598412,0.0,0.6972142262598412,0.0,0.0
SBV2-ALL92-G098-C02,cyber_defense,mild_scope_overclaim,0.6103851869467585,0.0,0.6103851869467585,0.033276471818297466,0.04220166890638128
SBV2-ALL92-G098-C03,cyber_defense,strong_action_overclaim,0.5067638324235381,0.0,0.5067638324235381,0.0352348384873934,0.0
SBV2-ALL92-G098-C04,cyber_defense,contradiction_candidate,0.5321703697928744,0.0,0.5321703697928744,0.02249238081934253,0.0
SBV2-ALL92-G099-C01,cyber_defense,supported,0.39218117597125296,0.0,0.39218117597125296,0.0,0.0
SBV2-ALL92-G099-C02,cyber_defense,mild_scope_overclaim,0.3755732263745954,0.0,0.3755732263745954,0.0,0.02686912039214354
SBV2-ALL92-G099-C03,cyber_defense,strong_action_overclaim,0.3207898430275776,0.0,0.3207898430275776,0.0,0.0
SBV2-ALL92-G099-C04,cyber_defense,contradiction_candidate,0.29121941856368977,0.0,0.29121941856368977,0.0,0.0
SBV2-ALL92-G106-C01,digital_twin,supported,0.49805492552387354,0.0,0.49805492552387354,0.0,0.0
SBV2-ALL92-G106-C02,digital_twin,mild_scope_overclaim,0.44839821777243083,0.0,0.44839821777243083,0.029352109213203005,0.0
SBV2-ALL92-G106-C03,digital_twin,strong_action_overclaim,0.4285585365799632,0.0,0.4285585365799632,0.0,0.0
SBV2-ALL92-G106-C04,digital_twin,contradiction_candidate,0.362726373745466,0.0,0.362726373745466,0.04047929748371947,0.0
SBV2-ALL92-G107-C01,digital_twin,supported,0.28341083743774215,0.0,0.28341083743774215,0.028661577552895275,0.0
SBV2-ALL92-G107-C02,digital_twin,mild_scope_overclaim,0.31034227825967214,0.0,0.31034227825967214,0.027516467115510503,0.0
SBV2-ALL92-G107-C03,digital_twin,strong_action_overclaim,0.24423719531082913,0.0,0.24423719531082913,0.0,0.023771815193643048
