file_path,file_name,extension,size,last_write_time,matched_keyword,likely_asset_type
D:\ocn_backup_20260704_1606\experiments\paper_ready_mixed_framework_v2\table_3_router_vs_baseline.csv,table_3_router_vs_baseline.csv,.csv,458,2026-07-03T14:55:28.828734,router,routing_logic
D:\ocn_backup_20260704_1606\experiments\paper_ready_mixed_framework_v2\table_3_router_vs_baseline.md,table_3_router_vs_baseline.md,.md,1169,2026-07-03T14:55:28.828734,router,routing_logic
D:\ocn_backup_20260704_1606\experiments\paper_v2_domain_holdout_v1\domain_holdout_predictions.csv,domain_holdout_predictions.csv,.csv,146553,2026-07-02T17:38:46.099130,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\silver_core_group_complete_v1\predictions_test.csv,predictions_test.csv,.csv,5321,2026-07-02T12:32:50.860310,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_detemplate_v1_150_llm_small_eval\predictions\llm_small_eval_predictions.csv,llm_small_eval_predictions.csv,.csv,103344,2026-07-01T04:06:03.085285,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_detemplate_v1_150_small_baselines\predictions\small_data_baseline_predictions.csv,small_data_baseline_predictions.csv,.csv,146427,2026-07-01T03:53:45.916647,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v2b_llm_small_eval\predictions\hardpair_v2b_llm_small_eval_predictions.csv,hardpair_v2b_llm_small_eval_predictions.csv,.csv,206432,2026-07-01T05:14:14.090525,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v2b_small_baselines\predictions\hardpair_v2b_small_data_baseline_predictions.csv,hardpair_v2b_small_data_baseline_predictions.csv,.csv,262837,2026-07-01T04:47:38.343205,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v2_small_baselines\predictions\hardpair_v2_small_data_baseline_predictions.csv,hardpair_v2_small_data_baseline_predictions.csv,.csv,263182,2026-07-01T04:36:19.453400,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v3b_small_baselines\predictions\hardpair_v3b_small_data_baseline_predictions.csv,hardpair_v3b_small_data_baseline_predictions.csv,.csv,263049,2026-07-01T13:20:49.495219,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v3_llm_small_eval\predictions\hardpair_v3_llm_small_eval_predictions.csv,hardpair_v3_llm_small_eval_predictions.csv,.csv,203807,2026-07-01T12:04:36.592566,prediction|predictions,prediction
D:\ocn_backup_20260704_1606\experiments\simclaim_hardpair_v3_small_baselines\predictions\hardpair_v3_small_data_baseline_predictions.csv,hardpair_v3_small_data_baseline_predictions.csv,.csv,263059,2026-07-01T11:38:24.355342,prediction|predictions,prediction
